name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
The Conjuring: The Devil Made Me Do It,English  Telugu  Tamil +1 more Hindi,[],Horror Mystery Thriller,,Michael Chaves,"['Vera Farmiga', 'Patrick Wilson', 'Shannon Kook']",4.0,3.7,"​​There’s hardly a dull moment in ‘The Conjuring: The Devil Made Me Do It.’ This one takes the franchise to newer highs revealing a chilling story of terror, murders and the unknown evil.","https://static.toiimg.com/thumb/msid-82214755,width-219,height-317,imgsize-43876/82214755.jpg"
Minari,"16 Apr, 2021",['English'],1 hr 55 mins,Drama,Lee Isaac Chung,"['Steven Yeun', 'Yeri Han', 'Alan S. Kim']",4.0,3.7,Lee Isaac Chung’s simple little film about a family finding its place in the world is rooted in reality and Korean culture. It smells of earth and rain and our sense of belonging to the land that feeds our stomachs.,"https://static.toiimg.com/thumb/msid-81907103,width-219,height-317,imgsize-48471/81907103.jpg"
The Father,"23 Apr, 2021",['English'],1 hr 37 mins,Drama,"Florian Zeller, Producer","['Olivia Colman', 'Anthony Hopkins', 'Mark Gatiss']",4.5,4.2,"Zellman’s ‘The Father’ is a lot more than a film that merely exists to tell you a story. This is an experience and a journey into an unstable world that is just as real, as it is make-believe.","https://static.toiimg.com/thumb/msid-80093151,width-219,height-317,imgsize-64410/80093151.jpg"
The Mauritanian,"19 Feb, 2021",['English'],2 hrs 9 mins,Thriller,Kevin Macdonald,"['Benedict Cumberbatch, Producer', 'Zachary Levi', 'Shailene Woodley']",3.5,3.5,"‘The Mauritanian’ is a lot of things and in-depth representation of the primary subject and the simmering issues underneath is not one of them. And yet, with conviction, we say it relievers what it promises to do: give peace and forgiveness a chance. Both to Slahi and America. ","https://static.toiimg.com/thumb/msid-80012268,width-219,height-317,imgsize-86182/80012268.jpg"
Nomadland,"02 Apr, 2021",['English'],1 hr 47 mins,Drama,"Chloe Zhao, Producer","['Frances McDormand, Producer', 'Linda May', 'David Strathairn']",4.0,4.2,,"https://static.toiimg.com/thumb/msid-81632596,width-219,height-317,imgsize-44934/81632596.jpg"
Godzilla Vs. Kong,"24 Mar, 2021","['English', 'Tamil', 'Telugu', 'Hindi']",1 hr 53 mins, Action Sci-Fi Thriller,Adam Wingard,"['Alexander Skarsgard', 'Millie Bobby Brown', 'Rebecca Hall']",3.5,3.8,Delivers on its promise as a massive monster clash and adrenaline-driven movie lovers will be visually rewarded for catching this spectacle in cinemas.,"https://static.toiimg.com/thumb/msid-81508348,width-219,height-317,imgsize-23019/81508348.jpg"
The Courier,"19 Mar, 2021",['English'],1 hr 51 mins,Thriller,Dominic Cooke,"['Benedict Cumberbatch', 'Angus Wright', 'Anton Lesser']",3.5,3.0,"Even though espionage buffs may find some of the genre tropes familiar, ‘The Courier’ is an enjoyable old-fashioned thriller that does not need to exaggerate to impress.","https://static.toiimg.com/thumb/msid-81510328,width-219,height-317,imgsize-54713/81510328.jpg"
Raya And The Last Dragon,"05 Mar, 2021",['English'],1 hr 45 mins, Animation Action Adventure,Don Hall,"['Carlos Lopez EstradaDirector', 'Awkwafina', 'Cassie Steele']",4.0,4.7,"It is a complete package with something for everyone. It’s a spirited fantasy adventure for the children, an inspiring young warrior princess, who defines women empowerment and a universally binding emotional fabric.","https://static.toiimg.com/thumb/msid-75554529,width-219,height-317,imgsize-64208/75554529.jpg"
Judas And The Black Messiah,"05 Mar, 2021",['English'],2 hrs 6 mins, Biography Drama History,Shaka King,"['Daniel Kaluuya', 'Lakeith Stanfield', 'Jesse Plemons']",4.0,3.6,"‘Pitched as a biographical, ‘Judas and the Black Messiah’ is almost like a hagiography of its protagonist Fred Hampton (played superbly by Daniel Kaluuya). But the way co-writer and director Shaka King maneuvers through one of American history’s darkest chapters, is not only convincing and fascinating but also hugely riveting in its approach.","https://static.toiimg.com/thumb/msid-80789058,width-219,height-317,imgsize-21999/80789058.jpg"
Tom & Jerry,"19 Feb, 2021","['English', 'Hindi', 'Tamil', 'Telugu']",1 hr 41 mins, Animation Adventure Comedy,Tim Story,"['Chloe Grace Moretz', 'Michael Pena', 'Rob Delaney']",3.5,3.6,"Isn’t deep or complicated, but works as a fun, nostalgic trip that will enthral kids while bringing back childhood memories for adults who grew up on the beloved series.","https://static.toiimg.com/thumb/msid-80282151,width-219,height-317,imgsize-87067/80282151.jpg"
Breaking News In Yuba County,"19 Feb, 2021",['English'],1 hr 36 mins, Comedy Drama,Tate Taylor,"['Mila Kunis', 'Allison Janney', 'Juliette Lewis']",2.5,3.2,"Breaking News In Yuba County is a English movie released on 19 Feb, 2021. The movie is directed by Tate Taylor and  featured Mila Kunis, Allison Janney, Juliette Lewis and Ellen Barkin as lead characters. Other popular actors who were roped in for Breaking News In Yuba County are Chris Lowell, Awkwafina, Jimmi Simpson and Matthew Modine","https://static.toiimg.com/thumb/msid-80501428,width-219,height-317,imgsize-55944/80501428.jpg"
Our Friend,"12 Feb, 2021",['English'],2 hrs 4 mins,Drama,Gabriela Cowperthwaite,"['Jason Segel', 'Isabella Kai', 'Violet McGraw']",4.0,4.3,"Our Friend is a English movie released on 12 Feb, 2021. The movie is directed by Gabriela Cowperthwaite and  featured Jason Segel, Isabella Kai, Violet McGraw and Casey Affleck as lead characters.Other popular actors who were roped in for Our Friend is and Dakota Johnson","https://static.toiimg.com/thumb/msid-80498654,width-219,height-317,imgsize-44955/80498654.jpg"
Monster Hunter,"05 Feb, 2021","['English', 'Hindi', 'Tamil', 'Telugu']",1 hr 39 mins, Action Fantasy Adventure,"Paul W.S. Anderson, Producer","['Milla Jovovich', 'Ron Perlman', 'Tony Jaa']",2.5,3.0,"All of 130 minutes, ‘Monster Hunter,’ packs in too many punches in an attempt to become an all-out action extravaganza. But for a film that tells the story of the real people, fighting the beasts of the new world, it feels a lot less thrilling than its source material. Are you game?","https://static.toiimg.com/thumb/msid-74434924,width-219,height-317,imgsize-80679/74434924.jpg"
The Little Things,"29 Jan, 2021",['English'],2 hrs 7 mins, Crime Drama Thriller,"John Lee Hancock, Producer","['Denzel Washington', 'Jared Leto', 'Rami Malek']",3.0,3.5,Hancock’s crime thriller is a dated attempt that tells an interesting story with some mature performances and a lesson on how the little things can have a big impact.,"https://static.toiimg.com/thumb/msid-79917116,width-219,height-317,imgsize-18443/79917116.jpg"
Misbehaviour,"22 Jan, 2021",['English'],1 hr 46 mins, Comedy Drama,Philippa Lowthorpe,"['Keira Knightley', 'Greg Kinnear', 'Jessie Buckley']",3.5,3.4,‘Misbehaviour’ is a bit too safe and crowd-pleasing but reminds us that some things are still worth standing up for.,"https://static.toiimg.com/thumb/msid-80098698,width-219,height-317,imgsize-33348/80098698.jpg"
The Secret Garden,"08 Jan, 2021",['English'],1 hr 37 mins, Drama Family Fantasy,Marc Munden,"['Dixie Egerickx', 'Richard Hansell', 'Tommy Gene Surridge']",3.0,3.4,"All the characters and all of it is in service of a very workable script that tries too hard to make us believe in the magic of the garden – something that should come naturally, anyway. In doing so, the writing only partially succeeds in translating the magic of the book into the film.","https://static.toiimg.com/thumb/msid-79115548,width-219,height-317,imgsize-97252/79115548.jpg"
The Croods: A New Age,"23 Dec, 2020",['English'],1 hr 35 mins, Comedy Animation Adventure,Joel Crawford,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds']",4.0,4.2,"The Croods: A New Age is a English movie released on 23 Dec, 2020. The movie is directed by Joel Crawford and  featured Nicolas Cage,  Emma Stone,  Ryan Reynolds and  Catherine Keener as lead characters. Other popular actors who were roped in for The Croods: A New Age are  Clark Duke and  Cloris Leachman","https://static.toiimg.com/thumb/msid-61962217,width-219,height-317,imgsize-39347/61962217.jpg"
Hard Kill,"21 Aug, 2020",['English'],1 hr 38 mins, Action Thriller,Matt Eskandari,"['Jesse Metcalfe', 'Bruce Willis', 'Natalie Eva Marie']",2.0,2.5,"Shot entirely in an abandoned factory, ‘Hard Kill’ lacks imagination and elements to entertain. Despite some known faces, it comes across as lazy B-grade rip off of a thrilling action extravaganza that could have been a lot more deserving of its title.","https://static.toiimg.com/thumb/msid-79076010,width-219,height-317,imgsize-56535/79076010.jpg"
Wonder Woman 1984,"24 Dec, 2020","['English', 'Hindi', 'Tamil', 'Telugu']",2 hrs 23 mins, Action Adventure Fantasy,"Patty Jenkins, Producer","['Gal Gadot, Producer', 'Pedro Pascal', 'Chris Pine']",4.0,4.2,"Overall, ‘WW84’ is a clean and wholesome mass entertainer that dutifully ticks all the boxes. From action and adventure to drama and emotions, it’s all here to pull the audience back to the big screen. ","https://static.toiimg.com/thumb/msid-62024878,width-219,height-317,imgsize-55598/62024878.jpg"
The Secrets We Keep,"18 Dec, 2020",['English'],1 hr 38 mins, Suspense Thriller,Yuval Adler,"['Noomi Rapace', 'Joel Kinnaman', 'Chris Messina']",3.0,3.2,Film buffs will be able to identify the foreshadowing that makes the climax slightly predictable but the performances and premise make 'The Secrets We Keep' a reasonably entertaining watch.,"https://static.toiimg.com/thumb/msid-79113665,width-219,height-317,imgsize-75690/79113665.jpg"
Come Away,"13 Nov, 2020",['English'],1 hr 34 mins, Drama Adventure Fantasy,Brenda Chapman,"['Gugu Mbatha Raw', 'Angelina Jolie', 'David Oyelowo']",3.0,3.1,"Angelina Jolie is at her usual best playing a grieving mother with restraint and poise, but it is David Oyelowo’s fatherly emotions that will touch your heart. He is brilliant as the man torn between his shady past and glum present, but perhaps a bright future, thanks to his adorable children.","https://static.toiimg.com/thumb/msid-79646371,width-219,height-317,imgsize-64091/79646371.jpg"
The Personal History Of David Copperfield,"11 Dec, 2020",['English'],1 hr 59 mins, Comedy Drama,"Armando Iannucci, Producer","['Nikki Amuka-Bird', 'Aneurin Barnard', 'Ruby Bentall']",3.0,3.3,"Despite all its excellent performances, the film doesn’t quite deliver as a lightheaded yet heartwarming take on a classic tale.","https://static.toiimg.com/thumb/msid-74727934,width-219,height-317,imgsize-37147/74727934.jpg"
Antebellum,"18 Sep, 2020",['English'],1 hr 45 mins, Drama Horror Mystery,"Gerard Bush, Producer","['Christopher RenzDirector', 'Eric Lange', 'Jena Malone']",3.5,3.3,"‘Antebellum’ follows a rather simple notion made popular by Nobel Prize winning American writer Willaim Faulkner that read, ‘Past is never dead. It’s not even past.’ ","https://static.toiimg.com/thumb/msid-74707731,width-219,height-317,imgsize-32607/74707731.jpg"
Peninsula,"27 Nov, 2020","['English', 'Hindi']",1 hr 56 mins, Action Horror Thriller,Sang Ho Yeon,"['Gang Dong Won', 'Lee Jung Hyun', 'Re Lee']",3.0,3.5,,"https://static.toiimg.com/thumb/msid-79390202,width-219,height-317,imgsize-50782/79390202.jpg"
Come Play,"27 Nov, 2020",['English'],1 hr 36 mins, Drama Horror Mystery,Jacob Chase,"['Gillian Jacobs', 'Azhy Robertson', 'John Gallagher Jr']",3.0,3.3,"It's not an entirely unique concept but 'Come Play' is the kind of horror flick that can resonate with kids without giving them the chills that they won't recover from. It does so without resorting to excessive violence, blood and gore or nudity. ","https://static.toiimg.com/thumb/msid-79261903,width-219,height-317,imgsize-14337/79261903.jpg"
Target Number One,"20 Nov, 2020",['English'],2 hrs 5 mins, Crime Thriller,Daniel Roby,"['Antoine Olivier Pilon', 'Josh Hartnett', 'Stephen McHattie']",2.5,3.3,"This crime drama sets out to honour the exposé that Malarek had written back in 1989, which, in turn, leads to cracking the cover-up wide open. Unfortunately, none of these sentiments shine through in its visual representation. All we get is a stubborn journalist and his relentless pursuit to seek the truth. The journey in between has been dropped, and that in itself is a criminal offence. ","https://static.toiimg.com/thumb/msid-79296468,width-219,height-317,imgsize-72360/79296468.jpg"
Trolls World Tour,"19 Nov, 2020","['English', 'Hindi']",1 hr 30 mins, Comedy Animation Adventure,Walt Dohrn,"['Anna Kendrick', 'Justin Timberlake', 'James Corden']",3.5,3.6,"Once again, ‘Trolls Word Tour’ reiterates what we have known all along but some of us chose to ignore or may have forgotten: music is the universal language of the universe.","https://static.toiimg.com/thumb/msid-62025369,width-219,height-317,imgsize-30337/62025369.jpg"
Relic,"10 Jul, 2020",['English'],1 hr 29 mins, Drama Horror Mystery,Natalie Erika James,"['Emily Mortimer', 'Bella Heathcote', 'Robyn Nevin']",3.5,3.4,"‘Relic’ moves at an unhurried pace but never does it drag. Along with its surreal and ghostly atmospherics, it explores the most basic human emotions.","https://static.toiimg.com/thumb/msid-76381486,width-219,height-317,imgsize-44866/76381486.jpg"
The 2nd,"01 Sep, 2020",['English'],1 hr 33 mins,Action,Brian Skiba,"['Ryan Phillippe', 'Casper Van Dien', 'Jack Griffo']",2.0,2.2,,"https://static.toiimg.com/thumb/msid-79057646,width-219,height-317,imgsize-64468/79057646.jpg"
The Witches,"22 Oct, 2020",['English'],1 hr 46 mins, Adventure Comedy Fantasy,Robert Zemeckis,"['Anne Hathaway', 'Octavia Spencer', 'Chris Rock']",3.5,3.0,‘The Witches’ is a simple story made grandly entertaining with all its crafty ingredients firmly in place. Enough to cast its magic spell on children of all ages.,"https://static.toiimg.com/thumb/msid-78949085,width-219,height-317,imgsize-32233/78949085.jpg"
The New Mutants,"30 Oct, 2020",['English'],1 hr 34 mins, Action Sci-Fi Horror,Josh Boone,"['Maisie Williams', 'Anya Taylor Joy', 'Charlie Heaton']",2.5,2.0,"With all its power play, ‘The New Mutants’ seems more like a complex campus drama with teenage squabbles and first kisses rather than a sophisticated making of the next breed of X-Men.​​","https://static.toiimg.com/thumb/msid-61934306,width-219,height-317,imgsize-39264/61934306.jpg"
Never Steal A Man's Second Chance: Honest Thief,"16 Oct, 2020",['English'],1 hr 39 mins, Action Crime Drama,"Mark Williams, Producer","['Liam Neeson', 'Kate Walsh', 'Jai Courtney']",3.5,3.1, ‘Honest Thief’ is an all too familiar Liam Neeson outing. But a unique plot with unpretentious performances and some thrilling moments make it worth your while. Honest!,"https://static.toiimg.com/thumb/msid-78747875,width-219,height-317,imgsize-69582/78747875.jpg"
The Outpost,"03 Jul, 2020",['English'],2 hrs 3 mins, Action Drama History,Rod Lurie,"['Scott Eastwood', 'Caleb Landry Jones', 'Orlando Bloom']",4.0,4.1,"‘The Outpost’ is crafted with precision, expertise and experience. It’s a war drama that transports you to the battlefield in all its cinematic brilliance.","https://static.toiimg.com/thumb/msid-78664641,width-219,height-317,imgsize-28946/78664641.jpg"
The War With Grandpa,"20 Nov, 2020",['English'],1 hr 34 mins, Drama Comedy Family,Tim Hill,"['Robert De Niro', 'Uma Thurman', 'Rob Riggle']",3.0,3.1,"‘The War with Grandpa’ is no more than a bunch of gags put together in staged set pieces, but thankfully, it never pretends to be more than that either. Watch it for the collective innocence and the harmless buffoonery by people of all ages.","https://static.toiimg.com/thumb/msid-61961657,width-219,height-317,imgsize-76688/61961657.jpg"
The Silencing,"18 Jul, 2020",['English'],1 hr 33 mins, Action Crime Thriller,Robin Pront,"['Nikolaj Coster Waldau', 'Annabelle Wallis', 'Hero Fiennes Tiffin']",3.5,3.2,"‘The Silencing’ is one of those serial killer sagas that’s not so much about what it is telling you, but how it is telling you. And that’s where it makes quite a killing.","https://static.toiimg.com/thumb/msid-78476412,width-219,height-317,imgsize-29218/78476412.jpg"
Greenland,"04 Dec, 2020",['English'],1 hr 59 mins, Action Thriller,Ric Roman Waugh,"['Gerard Butler', 'Morena Baccarin', 'Scott Glenn']",3.5,3.5,"Greenland is a slow-burning, mature and nuanced take on a life-altering and destructive fictional event that is all too familiar in today’s time. It’s as grounded as it is gritty, leaving you emotionally heavy and cinematically satisfied.","https://static.toiimg.com/thumb/msid-78458538,width-219,height-317,imgsize-26014/78458538.jpg"
Scoob!,"15 May, 2020",['English'],1 hr 33 mins, Animation Adventure Comedy,Tony Cervone,"['Mark Wahlberg', 'Mckenna Grace', 'Amanda Seyfried']",3.0,3.5,"‘Scoob!’ is clearly more of a rehash than reinvention with some contemporary coolness and imagination so it can appeal to today’s smartphone generation. The result is mildly entertaining, but nothing exceptional.","https://static.toiimg.com/thumb/msid-74508539,width-219,height-317,imgsize-47445/74508539.jpg"
Unhinged,"21 Aug, 2020",['English'],1 hr 30 mins, Thriller Action,Derrick Borte,"['Russell Crowe', 'Anne Leighton', 'Gabriel Bateman']",3.0,3.1,"‘Unhinged’ isn’t the best road rage movie to have hit the marquee, but it does drive home its point ‘bloody’ well. And it does so with less gun play and more horsepower. ","https://static.toiimg.com/thumb/msid-70837290,width-219,height-317,imgsize-62293/70837290.jpg"
Bill & Ted Face The Music,"28 Aug, 2020",['English'],1 hr 31 mins, Adventure Comedy Music,Dean Parisot,"['Keanu Reeves', 'Alex Winter', 'Kristen Schaal']",3.0,3.1,"Keeping up with the legacy of Bill and Ted’s trademark goofiness, this third instalment builds it up further and takes its bizarre and adventurous plot to a whole new level of madness. But it remains silly as ever. ","https://static.toiimg.com/thumb/msid-78099987,width-219,height-317,imgsize-31985/78099987.jpg"
Ava,"25 Sep, 2020",['English'],1 hr 36 mins, Action Crime Drama,Tate Taylor,"['Jessica Chastain', 'John Malkovich', 'Common']",3.0,2.8,"It’s Jessica Chastain’s charisma and star power that saves the day for Ava. Otherwise, it’s an unimaginative plot with less thrill and many clichés.","https://static.toiimg.com/thumb/msid-77946265,width-219,height-317,imgsize-73282/77946265.jpg"
The Secret: Dare To Dream,"27 Nov, 2020",['English'],1 hr 47 mins, Romance Drama,Andy Tennant,"['Josh Lucas', 'Jerry O Connell', 'Celia Weston']",3.5,3.3,"While ‘The Secret’ doesn’t tell you what you don’t know already, it does so with simplicity and sensitivity. Overall, it’s a well-meaning film that gives you cosmic hope in a way that leaves you entertained and smiling.","https://static.toiimg.com/thumb/msid-77864167,width-219,height-317,imgsize-25825/77864167.jpg"
Tenet,"04 Dec, 2020","['English', 'Hindi', 'Telugu', 'Tamil']",2 hrs 30 mins, Action Sci-Fi,"Christopher Nolan, Producer","['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki']",4.0,4.3,"The film’s screenplay keeps underlining and explaining its layered plot about technology that can reverse time. Thankfully, it does so with stunning cinematography (Hoyte Van Hoytema) and action-packed scenes that are executed with a natural flair and finesse. ","https://static.toiimg.com/thumb/msid-69476781,width-219,height-317,imgsize-80369/69476781.jpg"
Parasite,"31 Jan, 2020",[],2 hrs 12 mins, Comedy Crime Drama,"Bong Joon Ho, Producer","['Kang Ho Song', 'Sung Hi Lee', 'Yeo-Jeong Jo']",4.5,4.1,"With an insightful and searing exploration of human behavior, ‘Parasite’ is a masterfully crafted film that is a definite must watch. ","https://static.toiimg.com/thumb/msid-73689672,width-219,height-317,imgsize-33937/73689672.jpg"
Bloodshot,"13 Mar, 2020","['English', 'Hindi']",Action Drama Sci-Fi,,Dave Wilson,"['vin diesel', 'Sam Heughan', 'Eiza Gonzalez']",3.5,3.4,"‘Bloodshot’ is a decent attempt that scores on its ambitious sci-fi imagination and a superhero, who is always ready for the action.","https://static.toiimg.com/thumb/msid-73549294,width-219,height-317,imgsize-33192/73549294.jpg"
Onward,"06 Mar, 2020",['English'],2 hrs 36 mins, Animation Adventure Comedy,Dan Scanlon,"['Chris Pratt', 'Tom Holland', 'Julia Louis Dreyfus']",4.0,3.8,The animation is top-notch and visually appealing. The characters are adequately cartoonish and also highly relatable and humane.,"https://static.toiimg.com/thumb/msid-67071466,width-219,height-317,imgsize-93616/67071466.jpg"
The Invisible Man,"28 Feb, 2020","['English', 'Hindi']",1 hr 50 mins, Horror Sci-Fi Thriller,Leigh Whannell,"['Elisabeth Moss', 'Oliver Jackson Cohen', 'Aldis Hodge']",4.0,3.8,"One of the rare psychological horror-thrillers that should come with a trigger warning, ‘The Invisible Man’ subverts many genre tropes to keep you looking over your shoulder well after the credits roll.","https://static.toiimg.com/thumb/msid-74203246,width-219,height-317,imgsize-29380/74203246.jpg"
Sonic The Hedgehog,"28 Feb, 2020",['English'],1 hr 39 mins, Action Adventure Comedy,Jeff Fowler,"['James Marsden', 'Jim Carrey', 'Ben Schwartz']",3.5,3.4,"Sonic The Hedghog is a little ball of super energy packed with action, adventure and entertainment in an adorable package – perfect to fight your boredom blues. ","https://static.toiimg.com/thumb/msid-66824138,width-219,height-317,imgsize-34911/66824138.jpg"
Brahms: The Boy II,"21 Feb, 2020",['English'],1 hr 26 mins, Horror Mystery Thriller,William Brent Bell,"['Katie Holmes', 'Owain Yeoman', 'Ralph Ineson']",2.5,2.9,"Besides some jump scares and the sporadic unsettling visuals, you won’t get much bang for your buck as a horror fan, due to this film's frustrating narrative.","https://static.toiimg.com/thumb/msid-73927141,width-219,height-317,imgsize-23813/73927141.jpg"
Fantasy Island,"14 Feb, 2020","['English', 'Hindi', 'Tamil', 'Telugu']",1 hr 50 mins, Adventure Comedy Horror,Jeff Wadlow,"['Lucy Hale', 'Maggie Q', 'Portia Doubleday']",2.5,2.9,"The concept of a modern-day genie in a posh resort sounds more than appealing in theory, but in reality, that initial curiosity fizzles out soon after and is swiftly replaced by perplexity. ","https://static.toiimg.com/thumb/msid-74095541,width-219,height-317,imgsize-29152/74095541.jpg"
Birds Of Prey,"07 Feb, 2020","['English', 'Hindi']",1 hr 49 mins, Action Adventure Crime,Cathy Yan,"['Margot Robbie, Producer', 'Mary Elizabeth Winstead', 'Ewan McGregor']",4.0,3.8,,"https://static.toiimg.com/thumb/msid-71198308,width-219,height-317,imgsize-100671/71198308.jpg"
Little Women,"07 Feb, 2020",['English'],2 hrs 15 mins, Drama Romance,Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh']",4.0,3.8,"Marked by strong performances and endearing characters, ‘Little Women’ is a relevant retelling of a classic bestseller that is as poetic as it is real. ","https://static.toiimg.com/thumb/msid-73667889,width-219,height-317,imgsize-74055/73667889.jpg"
The Rhythm Section,"31 Jan, 2020",['English'],1 hr 49 mins, Action Drama Mystery,Reed Morano,"['Blake Lively', 'Jude Law', 'Daniel Mays']",2.5,3.0,"The Rhythm Section is a English movie released on 31 Jan, 2020. The movie is directed by Reed Morano and  featured Blake Lively,  Jude Law,  Daniel Mays and Max Casella as lead characters. Other popular actors who were roped in for The Rhythm Section are Geoff Bell, Raza Jaffrey and Richard Brake","https://static.toiimg.com/thumb/msid-62025186,width-219,height-317,imgsize-58398/62025186.jpg"
The Last Full Measure,"31 Jan, 2020",['English'],1 hr 56 mins, Drama War,Todd Robinson,"['Samuel L. Jackson', 'Alison Sudol', 'Sebastian Stan']",3.5,3.3,,"https://static.toiimg.com/thumb/msid-62024604,width-219,height-317,imgsize-53566/62024604.jpg"
Bad Boys For Life,"31 Jan, 2020","['English', 'Hindi', 'Telugu', 'Tamil']",2 hrs 4 mins, Action Crime Comedy,Adil El Arbi,"['Bilall FallahDirector', 'Will Smith, Producer', 'Martin Lawrence']",3.5,3.4,This one carries forward the legacy of the bad boys franchise and the magic of its leading men ensure that third time’s a charm. ,"https://static.toiimg.com/thumb/msid-61934653,width-219,height-317,imgsize-56206/61934653.jpg"
The Gentlemen,"24 Jan, 2020",['English'],1 hr 55 mins, Action Crime,"Guy Ritchie, Producer","['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery']",4.0,3.7,,"https://static.toiimg.com/thumb/msid-71440898,width-219,height-317,imgsize-53966/71440898.jpg"
Jojo Rabbit,"31 Jan, 2020",['English'],1 hr 48 mins, Comedy Drama War,"Taika Waititi, Actor","['Scarlett Johansson', 'Sam Rockwell', 'Rebel Wilson']",4.0,3.7,"With its satirical stance, Jojo Rabbit is a bold film that hits hard and makes for an overwhelming cinematic experience. 
","https://static.toiimg.com/thumb/msid-73188167,width-219,height-317,imgsize-38387/73188167.jpg"
Shaun The Sheep Movie: Farmageddon,"24 Jan, 2020",['English'],1 hr 26 mins, Animation Adventure Comedy,Richard Phelan,"['Will BecherDirector', 'Justin Fletcher', 'John Sparkes']",3.5,3.4,The visuals and effects that one gets to see on screen are top-notch and the fact that it is a tightly edited script (only 86 minutes long) makes this film an ocular delight to witness. ,"https://static.toiimg.com/thumb/msid-68749998,width-219,height-317,imgsize-96935/68749998.jpg"
Judy,"19 Oct, 2019",['English'],1 hr 58 mins, Biography Drama Romance,Rupert Goold,"['Renee Zellweger', 'Jessie Buckley', 'Finn Wittrock']",3.5,3.3,"Although insightful moments are missing from most of the film, ‘Judy’ stands strong on Zellweger’s career-defining performance.","https://static.toiimg.com/thumb/msid-73117980,width-219,height-317,imgsize-59110/73117980.jpg"
1917,"17 Jan, 2020",['English'],1 hr 59 mins, Drama War,"Sam Mendes, Producer","['Andrew Scott', 'Benedict Cumberbatch', 'Richard Madden']",4.5,4.1,,"https://static.toiimg.com/thumb/msid-72222074,width-219,height-317,imgsize-14548/72222074.jpg"
A Beautiful Day In The Neighborhood,"17 Jan, 2020",['English'],1 hr 49 mins, Drama Biography,Marielle Heller,"['Tom Hanks', 'Matthew Rhys', 'Chris Cooper']",4.0,3.8,,"https://static.toiimg.com/thumb/msid-73173684,width-219,height-317,imgsize-63665/73173684.jpg"
Dolittle,"17 Jan, 2020","['English', 'Hindi', 'Tamil', 'Telugu']",1 hr 41 mins, Action Adventure Comedy,Stephen Gaghan,"['Robert Downey Jr.', 'Tom Holland', 'Rami Malek']",3.5,3.4,"Technicalities and screenplay aside, the tonality is fun and bubbly, and as far as a family film goes, ‘Dolittle’ is sure to be a hit with kids, who seem to be the film's target audience.","https://static.toiimg.com/thumb/msid-62023461,width-219,height-317,imgsize-52871/62023461.jpg"
Just Mercy,"17 Jan, 2020",['English'],2 hrs 12 mins,Drama,Destin Daniel Cretton,"['Brie Larson', 'Michael B. Jordan', 'Jamie Foxx']",3.5,3.4,,"https://static.toiimg.com/thumb/msid-72490448,width-219,height-317,imgsize-139305/72490448.jpg"
Like a Boss,"10 Jan, 2020",['English'],1 hr 26 mins,Comedy,Miguel Arteta,"['Rose Byrne', 'Tiffany Haddish', 'Salma Hayek']",2.5,2.9,"The experience of watching ‘Like A Boss’ is like revisiting high school in a not-so-nostalgic way. But, if you are grateful for your bosom buddy and would like to share a light moment with him/her, watch it for the feels. ","https://static.toiimg.com/thumb/msid-73135352,width-219,height-317,imgsize-78670/73135352.jpg"
Richard Jewell,"03 Jan, 2020",['English'],2 hrs 9 mins,Drama,"Clint Eastwood, Producer","['Paul Walter Hauser', 'Sam Rockwell', 'Olivia Wilde']",4.0,3.8,"A security guard becomes a hero after finding an explosive device, but soon comes under scrutiny by the FBI as a prime suspect.","https://static.toiimg.com/thumb/msid-71438846,width-219,height-317,imgsize-61545/71438846.jpg"
Cats,"03 Jan, 2020",['English'],1 hr 50 mins, Drama Comedy Family,Tom Hooper,"['Taylor Swift', 'Jennifer Hudson', 'James Corden']",2.5,2.8,,"https://static.toiimg.com/thumb/msid-65088200,width-219,height-317,imgsize-87541/65088200.jpg"
The Informer,English,[],Crime Thriller,,Andrea Di Stefano,"['Ana de Armas', 'Joel Kinnaman', 'Rosamund Pike']",3.5,3.3,‘The Informer’ is an entertaining thriller with gritty action scenes that makes full use of its plot to drive the suspense.,"https://static.toiimg.com/thumb/msid-63767774,width-219,height-317,imgsize-30134/63767774.jpg"
The Grudge,"03 Jan, 2020",['English'],1 hr 20 mins, Horror Mystery,Nicolas Pesce,"['Betty Gilpin', 'Tara Westwood', 'Andrea Riseborough']",3.0,3.2,"Despite a haunting tonality that’s faithfully maintained throughout, ‘The Grudge’ is likely to leave most viewers unsatisfied. ","https://static.toiimg.com/thumb/msid-71717028,width-219,height-317,imgsize-20200/71717028.jpg"
Bombshell,"03 Jan, 2020",['English'],1 hr 49 mins, Biography Drama,"Jay Roach, Producer","['Nicole Kidman', 'Margot Robbie', 'Charlize Theron, Producer']",3.5,3.3,"Although the sum isn’t greater than its parts, this is an essential film that needs to be watched, considering the significance of its real-life events","https://static.toiimg.com/thumb/msid-72435311,width-219,height-317,imgsize-41551/72435311.jpg"
